Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/10  04:00:00,199402517.50795203,199402517.50795215 
 01/10  05:00:00,202958908.05804786,202958908.058048 
 01/10  06:00:00,215436032.2888012,215436032.28880137 
 01/10  07:00:00,232149083.64887413,232149083.64887443 
 01/10  08:00:00,227358249.8437426,226413500.63367674 
 01/10  09:00:00,215409006.08842114,207013295.24397364 
 01/10  10:00:00,189093815.8385856,172560664.8518266 
 01/10  11:00:00,179375193.2771329,160077215.62782705 
 01/10  12:00:00,177275680.64115036,146025313.4066472 
 01/10  13:00:00,169794114.97619182,135743740.250339 
 01/10  14:00:00,164224506.3451279,133163154.90191205 
 01/10  15:00:00,162752337.59009853,137578902.48494777 
 01/10  16:00:00,172639744.60567775,160318195.84132174 
 01/10  17:00:00,204853380.2875796,203041194.3358972 
 01/10  18:00:00,265571275.23401356,265571275.2340135 
 01/10  19:00:00,266895220.6847659,266895220.68476582 
 01/10  20:00:00,256116639.19179758,256116639.19179755 
 01/10  21:00:00,252315512.27143738,252315512.2714376 
 01/10  22:00:00,241656811.29867673,241656811.298677 
 01/10  23:00:00,219641765.10640284,219641765.10640314 
 01/10  24:00:00,200188630.79582655,200188630.79582685 
 01/11  01:00:00,184982699.2369449,184982699.23694506 
 01/11  02:00:00,182603338.2563593,182603338.25635943 
 01/11  03:00:00,175573395.46693525,175573395.4669354 
 01/11  04:00:00,171913982.631514,171913982.63151407 
 01/11  05:00:00,177064733.13899118,177064733.13899136 
 01/11  06:00:00,191918180.89452556,191918180.89452568 
 01/11  07:00:00,210593132.60341093,210593132.60341123 
 01/11  08:00:00,210575614.9501439,209373181.68868482 
 01/11  09:00:00,218220376.5430566,211091022.11823767 
 01/11  10:00:00,193187298.46313697,175129107.23079893 
 01/11  11:00:00,183709141.60256454,155932656.55622268 
