Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT COIL:Heating Coil Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),BOILER HOT WATER 1:Boiler NaturalGas Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 07/20  22:00:00,1464436.5388023537,1575378.7008328347,1035639.5459141589,111302.55020281955,0.0,226574.69065491756,0.0,5786.232613792361,632471.5224703385,0.0 
 07/20  23:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,153194.07168131432,0.0,4153.11481328937,632439.9510224243,0.0 
 07/20  24:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,89045.84063047472,0.0,2537.015306499084,632415.4154052963,0.0 
 07/21  01:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,21857.60921974874,0.0,640.4676905394447,421596.1993364763,0.0 
 07/21  02:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,18948.50657214547,0.0,563.181145710277,526984.2485481491,0.0 
 07/21  03:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,61589.45784310685,0.0,1879.8880958849359,632387.2651398581,0.0 
 07/21  04:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,101613.37182306123,0.0,3228.58469988431,632393.5390442024,0.0 
 07/21  05:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,141033.52205400914,0.0,4632.220503720471,632402.990055956,0.0 
 07/21  06:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,171915.51654648292,0.0,5686.1330561680115,632415.7962304077,0.0 
 07/21  07:00:00,488145.51293411787,1260302.960666268,724947.6821399112,110785.63290393612,2278192.1741748014,207376.25571835626,0.0,6744.904858178195,632428.2211106549,0.0 
 07/21  08:00:00,1464436.5388023537,1260302.960666268,0.0,110785.63290393612,0.0,241400.66555682162,0.0,7541.702142412404,632453.2668645966,0.0 
 07/21  09:00:00,4393309.616407061,2835681.661499103,0.0,131713.25493837873,0.0,594895.8979969078,0.0,16681.99685528106,632501.1236850683,0.0 
 07/21  10:00:00,4393309.616407061,2835681.661499103,0.0,152257.93790321588,0.0,988817.2222898793,0.0,24889.516170778825,632551.2375688504,0.0 
 07/21  11:00:00,4393309.616407061,2835681.661499103,0.0,165386.1641862905,0.0,1377798.3901905788,0.0,32279.851452028965,632605.0745406573,0.0 
 07/21  12:00:00,4393309.616407061,2835681.661499103,0.0,177619.34988285424,0.0,1855845.7255341595,0.0,41832.88652198096,632684.7021650431,0.0 
 07/21  13:00:00,4393309.616407061,2520605.921332536,0.0,181901.42331911132,0.0,2248370.4041698365,0.0,49425.956377775976,632775.790888101,0.0 
